frame_number,avg_ear,pitch,yaw,status,face_detected
1,0.2524,3.52,5.75,ALERTT,True
2,0.2597,3.28,7.92,ALERTT,True
3,0.2672,2.61,7.51,ALERTT,True
4,0.268,2.87,6.49,ALERTT,True
5,0.2675,2.69,6.22,ALERTT,True
6,0.2724,2.48,3.98,ALERTT,True
7,0.2706,2.24,2.44,ALERTT,True
8,0.2684,2.42,1.28,ALERTT,True
9,0.2723,2.31,0.9,ALERTT,True
10,0.271,2.45,1.21,ALERTT,True
11,0.2689,2.68,0.86,ALERTT,True
12,0.2703,2.7,-0.98,ALERTT,True
13,0.2644,2.99,-1.26,ALERTT,True
14,0.264,3.22,-1.52,ALERTT,True
15,0.2671,3.41,-1.54,ALERTT,True
16,0.2702,3.33,-0.58,ALERTT,True
17,0.2701,3.68,-0.31,ALERTT,True
18,0.2715,3.33,-0.5,ALERTT,True
19,0.2713,3.34,-0.71,ALERTT,True
20,0.2743,3.2,-0.43,ALERTT,True
21,0.2719,3.21,-0.9,ALERTT,True
22,0.2737,3.18,-0.29,ALERTT,True
23,0.2718,3.3,-0.57,ALERTT,True
24,0.273,3.24,-0.05,ALERTT,True
25,0.2773,3.23,0.25,ALERTT,True
26,0.2743,3.32,0.38,ALERTT,True
27,0.2739,3.21,0.96,ALERTT,True
28,0.2803,3.39,-0.05,ALERTT,True
29,0.2794,3.24,1.43,ALERTT,True
30,0.2742,3.43,1.58,ALERTT,True
31,0.2759,3.48,0.48,ALERTT,True
32,0.2866,4.08,-0.11,ALERTT,True
33,0.284,3.84,-1.77,ALERTT,True
34,0.2845,3.72,-1.68,ALERTT,True
35,0.2839,3.96,-2.2,ALERTT,True
36,0.284,3.92,-2.85,ALERTT,True
37,0.2731,3.81,-2.79,ALERTT,True
38,0.2628,3.63,-1.99,ALERTT,True
39,0.2669,3.44,-1.96,ALERTT,True
40,0.2622,3.5,-2.83,ALERTT,True
41,0.2698,3.56,-3.35,ALERTT,True
42,0.2683,3.5,-3.53,ALERTT,True
43,0.2654,3.05,-3.88,ALERTT,True
44,0.2635,2.38,-3.78,ALERTT,True
45,0.2676,1.66,-2.28,ALERTT,True
46,0.2728,1.4,-3.57,ALERTT,True
47,0.2882,3.03,-7.1,ALERTT,True
48,0.2909,2.9,-8.89,ALERTT,True
49,0.289,2.25,-6.01,ALERTT,True
50,0.2898,1.38,-5.04,ALERTT,True
51,0.2805,1.16,-0.79,ALERTT,True
52,0.2782,1.78,1.36,ALERTT,True
53,0.2848,1.95,2.76,ALERTT,True
54,0.2821,2.42,3.31,ALERTT,True
55,0.2891,1.77,3.53,ALERTT,True
56,0.2649,1.81,3.2,ALERTT,True
57,0.2628,1.49,1.84,ALERTT,True
58,0.2655,1.49,3.12,ALERTT,True
59,0.2677,1.89,2.17,ALERTT,True
60,0.2682,1.77,1.24,ALERTT,True
61,0.26,2.17,-0.56,ALERTT,True
62,0.2563,2.46,-2.34,ALERTT,True
63,0.2637,2.11,-2.37,ALERTT,True
64,0.2741,2.95,-4.19,ALERTT,True
65,0.2758,2.83,-3.48,ALERTT,True
66,0.2804,2.59,-3.75,ALERTT,True
67,0.2817,2.5,-4.48,ALERTT,True
68,0.2912,2.87,-2.64,ALERTT,True
69,0.2842,3.54,0.1,ALERTT,True
70,0.1637,2.76,-0.12,DROWSY,True
71,0.1647,2.6,-0.16,DROWSY,True
72,0.2465,2.95,-0.06,ALERTT,True
73,0.2719,3.48,0.23,ALERTT,True
74,0.2646,2.83,0.51,ALERTT,True
75,0.2716,2.87,1.21,ALERTT,True
76,0.2721,2.7,1.58,ALERTT,True
77,0.2715,1.84,1.66,ALERTT,True
78,0.2436,1.58,1.44,ALERTT,True
79,0.2376,1.58,1.76,ALERTT,True
80,0.2432,1.69,1.59,ALERTT,True
81,0.2456,1.79,1.48,ALERTT,True
82,0.2468,1.62,1.83,ALERTT,True
83,0.2518,1.32,0.63,ALERTT,True
84,0.2512,1.58,0.09,ALERTT,True
85,0.2595,1.66,0.45,ALERTT,True
86,0.2601,1.79,-0.87,ALERTT,True
87,0.2612,1.51,-1.48,ALERTT,True
88,0.2649,1.21,-2.14,ALERTT,True
89,0.2616,1.24,-2.19,ALERTT,True
90,0.2666,1.23,-1.22,ALERTT,True
91,0.2637,1.48,-0.61,ALERTT,True
92,0.2677,1.77,0.77,ALERTT,True
93,0.2627,1.03,2.54,ALERTT,True
94,0.2568,0.85,1.74,ALERTT,True
95,0.261,1.29,0.5,ALERTT,True
96,0.27,1.65,1.35,ALERTT,True
97,0.2733,1.34,1.41,ALERTT,True
98,0.2748,1.38,1.78,ALERTT,True
99,0.195,1.34,1.41,DROWSY,True
100,0.1938,0.39,0.79,DROWSY,True
101,0.2508,1.34,0.19,ALERTT,True
102,0.2671,1.4,0.4,ALERTT,True
103,0.2669,1.57,-0.6,ALERTT,True
104,0.2734,1.48,-3.16,ALERTT,True
105,0.2697,1.34,-2.84,ALERTT,True
106,0.2745,1.36,-2.99,ALERTT,True
107,0.2755,1.36,-2.14,ALERTT,True
108,0.272,1.42,-1.01,ALERTT,True
109,0.2735,1.72,-0.19,ALERTT,True
110,0.2718,1.87,0.05,ALERTT,True
111,0.2762,1.83,0.7,ALERTT,True
112,0.2711,1.75,0.43,ALERTT,True
113,0.2707,1.59,-0.49,ALERTT,True
114,0.2782,1.71,-0.47,ALERTT,True
115,0.2674,1.49,-1.85,ALERTT,True
116,0.2508,2.46,-4.61,ALERTT,True
117,0.2361,2.69,-6.49,ALERTT,True
118,0.2411,3.0,-10.34,ALERTT,True
119,0.245,3.22,-11.4,ALERTT,True
120,0.2447,2.01,-10.14,ALERTT,True
121,0.2485,1.36,-6.92,ALERTT,True
122,0.242,4.04,-5.69,ALERTT,True
123,0.0948,2.43,5.57,DROWSY,True
124,0.069,2.17,11.07,DROWSY,True
125,0.1308,3.34,17.99,DROWSY,True
126,0.18,4.71,21.62,DROWSY,True
127,0.197,6.81,21.43,DROWSY,True
128,0.2084,7.26,20.97,DROWSY,True
129,0.2294,9.85,21.27,DISTRACTED,True
