Frame,EAR,Pitch,Yaw,Status
1,0.252,-58998.22,4965.54,DISTRACTED
2,0.26,-58924.47,5926.94,DISTRACTED
3,0.267,-59212.99,5652.19,DISTRACTED
4,0.268,-59230.15,5196.41,DISTRACTED
5,0.267,-59347.45,4995.3,DISTRACTED
6,0.272,-59628.5,3852.67,DISTRACTED
7,0.271,-59817.68,3186.2,DISTRACTED
8,0.268,-59829.92,2674.52,DISTRACTED
9,0.272,-59876.91,2573.82,DISTRACTED
10,0.271,-59816.4,2605.99,DISTRACTED
11,0.269,-59753.43,2479.39,DISTRACTED
12,0.27,-59842.34,1860.03,DISTRACTED
13,0.264,-59761.27,1863.93,DISTRACTED
14,0.264,-59696.98,1875.56,DISTRACTED
15,0.267,-59626.88,1860.37,DISTRACTED
16,0.27,-59605.94,2208.31,DISTRACTED
17,0.27,-59459.75,2355.29,DISTRACTED
18,0.271,-59601.89,2151.33,DISTRACTED
19,0.271,-59620.75,2098.73,DISTRACTED
20,0.274,-59647.38,2129.47,DISTRACTED
21,0.272,-59661.99,2026.69,DISTRACTED
22,0.274,-59644.84,2228.79,DISTRACTED
23,0.272,-59636.43,2164.51,DISTRACTED
24,0.273,-59644.62,2285.87,DISTRACTED
25,0.277,-59622.63,2443.31,DISTRACTED
26,0.274,-59595.58,2537.69,DISTRACTED
27,0.274,-59578.43,2584.41,DISTRACTED
28,0.28,-59569.86,2271.56,DISTRACTED
29,0.279,-59541.86,2852.58,DISTRACTED
30,0.274,-59459.8,2902.96,DISTRACTED
31,0.276,-59511.22,2491.41,DISTRACTED
32,0.287,-59341.87,2422.07,DISTRACTED
33,0.284,-59501.91,1773.05,DISTRACTED
34,0.284,-59546.52,1777.38,DISTRACTED
35,0.284,-59502.66,1633.54,DISTRACTED
36,0.284,-59521.68,1451.4,DISTRACTED
37,0.273,-59547.38,1465.19,DISTRACTED
38,0.263,-59577.55,1700.51,DISTRACTED
39,0.267,-59645.37,1672.24,DISTRACTED
40,0.262,-59664.06,1452.09,DISTRACTED
41,0.27,-59663.15,1285.36,DISTRACTED
42,0.268,-59678.46,1243.34,DISTRACTED
43,0.265,-59871.34,1184.02,DISTRACTED
44,0.264,-60089.57,1016.92,DISTRACTED
45,0.268,-60274.94,1410.42,DISTRACTED
46,0.273,-60384.0,885.93,DISTRACTED
47,0.288,-59963.57,64.78,DISTRACTED
48,0.291,-60064.01,-460.58,DISTRACTED
49,0.289,-60168.07,228.74,DISTRACTED
50,0.29,-60406.79,360.33,DISTRACTED
51,0.28,-60338.19,1608.0,DISTRACTED
52,0.278,-60062.79,2423.42,DISTRACTED
53,0.285,-59935.18,2941.62,DISTRACTED
54,0.282,-59720.24,3290.54,DISTRACTED
55,0.289,-59927.01,3303.41,DISTRACTED
56,0.265,-59908.86,3107.65,DISTRACTED
57,0.263,-60085.34,2588.94,DISTRACTED
58,0.266,-60056.44,3078.95,DISTRACTED
59,0.268,-59958.55,2759.74,DISTRACTED
60,0.268,-60055.2,2508.16,DISTRACTED
61,0.26,-59993.55,1994.59,DISTRACTED
62,0.256,-59962.91,1401.88,DISTRACTED
63,0.264,-60049.93,1153.22,DISTRACTED
64,0.274,-59803.36,796.15,DISTRACTED
65,0.276,-59830.97,907.56,DISTRACTED
66,0.28,-59968.68,838.18,DISTRACTED
67,0.282,-60007.78,623.67,DISTRACTED
68,0.291,-59804.32,1312.27,DISTRACTED
69,0.284,-59433.67,2334.76,DISTRACTED
70,0.164,-59707.27,2360.64,DISTRACTED
71,0.165,-59771.42,2250.45,DISTRACTED
72,0.247,-59661.74,2107.94,DISTRACTED
73,0.272,-59448.04,2332.62,DISTRACTED
74,0.265,-59687.25,2287.86,DISTRACTED
75,0.272,-59642.62,2540.29,DISTRACTED
76,0.272,-59703.48,2680.53,DISTRACTED
77,0.271,-60002.29,2621.61,DISTRACTED
78,0.244,-60085.08,2639.15,DISTRACTED
79,0.238,-60060.62,2767.73,DISTRACTED
80,0.243,-60008.38,2770.28,DISTRACTED
81,0.246,-59982.43,2741.06,DISTRACTED
82,0.247,-60003.4,2804.67,DISTRACTED
83,0.252,-60154.81,2324.27,DISTRACTED
84,0.251,-60086.08,2025.56,DISTRACTED
85,0.259,-60061.74,2083.1,DISTRACTED
86,0.26,-60061.64,1775.65,DISTRACTED
87,0.261,-60150.5,1552.38,DISTRACTED
88,0.265,-60275.08,1324.75,DISTRACTED
89,0.262,-60269.96,1305.89,DISTRACTED
90,0.267,-60250.24,1542.92,DISTRACTED
91,0.264,-60172.64,1802.92,DISTRACTED
92,0.268,-60067.74,2304.3,DISTRACTED
93,0.263,-60238.53,2950.26,DISTRACTED
94,0.257,-60325.88,2544.95,DISTRACTED
95,0.261,-60234.19,1977.94,DISTRACTED
96,0.27,-60065.25,2496.78,DISTRACTED
97,0.273,-60190.5,2523.74,DISTRACTED
98,0.275,-60178.23,2707.55,DISTRACTED
99,0.195,-60146.23,2450.87,DISTRACTED
100,0.194,-60471.21,2017.74,DISTRACTED
101,0.251,-60184.85,1862.93,DISTRACTED
102,0.267,-60138.92,1984.08,DISTRACTED
103,0.267,-60135.76,1625.49,DISTRACTED
104,0.273,-60260.49,965.41,DISTRACTED
105,0.27,-60309.52,1066.41,DISTRACTED
106,0.274,-60296.47,1066.83,DISTRACTED
107,0.276,-60267.45,1320.67,DISTRACTED
108,0.272,-60224.54,1758.37,DISTRACTED
109,0.274,-60090.63,2004.33,DISTRACTED
110,0.272,-60027.44,2132.21,DISTRACTED
111,0.276,-60011.64,2377.66,DISTRACTED
112,0.271,-60043.62,2194.68,DISTRACTED
113,0.271,-60154.67,1949.07,DISTRACTED
114,0.278,-60092.7,1971.37,DISTRACTED
115,0.267,-60214.24,1492.7,DISTRACTED
116,0.251,-59896.25,766.08,DISTRACTED
117,0.236,-59917.14,283.48,DISTRACTED
118,0.241,-59909.13,-898.55,DISTRACTED
119,0.245,-59825.88,-1209.86,DISTRACTED
120,0.245,-60240.05,-1017.23,DISTRACTED
121,0.248,-60376.1,-76.57,DISTRACTED
122,0.242,-59356.87,453.33,DISTRACTED
123,0.095,-59165.68,4731.97,DISTRACTED
124,0.069,-58701.4,7219.25,DISTRACTED
125,0.131,-57584.41,10214.26,DISTRACTED
126,0.18,-56762.63,11682.22,DISTRACTED
127,0.197,-56010.03,11625.39,DISTRACTED
128,0.208,-55903.9,11493.1,DISTRACTED
129,0.229,-54887.97,11655.05,DISTRACTED
130,0.216,-54325.58,11002.16,DISTRACTED
131,0.175,-54064.95,11832.06,DISTRACTED
132,0.204,-53534.29,11801.98,DISTRACTED
133,0.209,-53354.89,11717.37,DISTRACTED
134,0.213,-53704.84,11714.26,DISTRACTED
135,0.219,-53673.37,11831.0,DISTRACTED
136,0.217,-53792.52,11818.32,DISTRACTED
